supplysector,subsector0,subsector,year,input.OM.fixed,OM.fixed,intermittent.technology
base load generation,wind,wind_base,1975,OM-fixed,11.08,wind_base
base load generation,wind,wind_base,1990,OM-fixed,11.08,wind_base
base load generation,wind,wind_base,2005,OM-fixed,11.08,wind_base
base load generation,wind,wind_base,2010,OM-fixed,11.08,wind_base
base load generation,wind,wind_base,2015,OM-fixed,11.08,wind_base
base load generation,wind,wind_base,2021,OM-fixed,7.71,wind_base
base load generation,wind,wind_base,2025,OM-fixed,7.36,wind_base
base load generation,wind,wind_base,2030,OM-fixed,6.9,wind_base
base load generation,wind,wind_base,2035,OM-fixed,6.66,wind_base
base load generation,wind,wind_base,2040,OM-fixed,6.42,wind_base
base load generation,wind,wind_base,2045,OM-fixed,6.19,wind_base
base load generation,wind,wind_base,2050,OM-fixed,5.95,wind_base
base load generation,wind,wind_base,2055,OM-fixed,5.92,wind_base
base load generation,wind,wind_base,2060,OM-fixed,5.89,wind_base
base load generation,wind,wind_base,2065,OM-fixed,5.86,wind_base
base load generation,wind,wind_base,2070,OM-fixed,5.83,wind_base
base load generation,wind,wind_base,2075,OM-fixed,5.8,wind_base
base load generation,wind,wind_base,2080,OM-fixed,5.77,wind_base
base load generation,wind,wind_base,2085,OM-fixed,5.75,wind_base
base load generation,wind,wind_base,2090,OM-fixed,5.72,wind_base
base load generation,wind,wind_base,2095,OM-fixed,5.69,wind_base
base load generation,wind,wind_base,2100,OM-fixed,5.66,wind_base
base load generation,wind,wind_base_offshore,1975,OM-fixed,21.42,wind_base_offshore
base load generation,wind,wind_base_offshore,1990,OM-fixed,21.42,wind_base_offshore
base load generation,wind,wind_base_offshore,2005,OM-fixed,21.42,wind_base_offshore
base load generation,wind,wind_base_offshore,2010,OM-fixed,21.42,wind_base_offshore
base load generation,wind,wind_base_offshore,2015,OM-fixed,21.42,wind_base_offshore
base load generation,wind,wind_base_offshore,2021,OM-fixed,21.42,wind_base_offshore
base load generation,wind,wind_base_offshore,2025,OM-fixed,19.67,wind_base_offshore
base load generation,wind,wind_base_offshore,2030,OM-fixed,18.47,wind_base_offshore
base load generation,wind,wind_base_offshore,2035,OM-fixed,17.45,wind_base_offshore
base load generation,wind,wind_base_offshore,2040,OM-fixed,17,wind_base_offshore
base load generation,wind,wind_base_offshore,2045,OM-fixed,16.66,wind_base_offshore
base load generation,wind,wind_base_offshore,2050,OM-fixed,16.39,wind_base_offshore
base load generation,wind,wind_base_offshore,2055,OM-fixed,16.31,wind_base_offshore
base load generation,wind,wind_base_offshore,2060,OM-fixed,16.22,wind_base_offshore
base load generation,wind,wind_base_offshore,2065,OM-fixed,16.14,wind_base_offshore
base load generation,wind,wind_base_offshore,2070,OM-fixed,16.06,wind_base_offshore
base load generation,wind,wind_base_offshore,2075,OM-fixed,15.98,wind_base_offshore
base load generation,wind,wind_base_offshore,2080,OM-fixed,15.9,wind_base_offshore
base load generation,wind,wind_base_offshore,2085,OM-fixed,15.82,wind_base_offshore
base load generation,wind,wind_base_offshore,2090,OM-fixed,15.74,wind_base_offshore
base load generation,wind,wind_base_offshore,2095,OM-fixed,15.67,wind_base_offshore
base load generation,wind,wind_base_offshore,2100,OM-fixed,15.59,wind_base_offshore
elect_td_bld,rooftop_pv,rooftop_pv,1975,OM-fixed,6.39,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,1990,OM-fixed,6.39,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2005,OM-fixed,6.39,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2010,OM-fixed,6.39,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2015,OM-fixed,6.39,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2021,OM-fixed,6.39,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2025,OM-fixed,5.5,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2030,OM-fixed,4.76,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2035,OM-fixed,4.02,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2040,OM-fixed,3.72,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2045,OM-fixed,3.42,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2050,OM-fixed,3.12,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2055,OM-fixed,3.11,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2060,OM-fixed,3.09,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2065,OM-fixed,3.07,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2070,OM-fixed,3.06,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2075,OM-fixed,3.04,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2080,OM-fixed,3.03,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2085,OM-fixed,3.01,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2090,OM-fixed,3,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2095,OM-fixed,2.98,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2100,OM-fixed,2.97,rooftop_pv
intermediate generation,solar,CSP_int,1975,OM-fixed,15.77,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,1990,OM-fixed,15.77,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2005,OM-fixed,15.77,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2010,OM-fixed,15.77,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2015,OM-fixed,15.77,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2021,OM-fixed,14.95,CSP_int (dry_hybrid)
