supplysector,subsector0,subsector,year,input.OM.var,OM.var,intermittent.technology
base load generation,wind,wind_base,1975,OM-var,0,wind_base
base load generation,wind,wind_base,1990,OM-var,0,wind_base
base load generation,wind,wind_base,2005,OM-var,0,wind_base
base load generation,wind,wind_base,2010,OM-var,0,wind_base
base load generation,wind,wind_base,2015,OM-var,0,wind_base
base load generation,wind,wind_base,2021,OM-var,0,wind_base
base load generation,wind,wind_base,2025,OM-var,0,wind_base
base load generation,wind,wind_base,2030,OM-var,0,wind_base
base load generation,wind,wind_base,2035,OM-var,0,wind_base
base load generation,wind,wind_base,2040,OM-var,0,wind_base
base load generation,wind,wind_base,2045,OM-var,0,wind_base
base load generation,wind,wind_base,2050,OM-var,0,wind_base
base load generation,wind,wind_base,2055,OM-var,0,wind_base
base load generation,wind,wind_base,2060,OM-var,0,wind_base
base load generation,wind,wind_base,2065,OM-var,0,wind_base
base load generation,wind,wind_base,2070,OM-var,0,wind_base
base load generation,wind,wind_base,2075,OM-var,0,wind_base
base load generation,wind,wind_base,2080,OM-var,0,wind_base
base load generation,wind,wind_base,2085,OM-var,0,wind_base
base load generation,wind,wind_base,2090,OM-var,0,wind_base
base load generation,wind,wind_base,2095,OM-var,0,wind_base
base load generation,wind,wind_base,2100,OM-var,0,wind_base
base load generation,wind,wind_base_offshore,1975,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,1990,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2005,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2010,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2015,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2021,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2025,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2030,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2035,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2040,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2045,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2050,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2055,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2060,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2065,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2070,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2075,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2080,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2085,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2090,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2095,OM-var,0,wind_base_offshore
base load generation,wind,wind_base_offshore,2100,OM-var,0,wind_base_offshore
elect_td_bld,rooftop_pv,rooftop_pv,1975,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,1990,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2005,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2010,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2015,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2021,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2025,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2030,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2035,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2040,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2045,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2050,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2055,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2060,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2065,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2070,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2075,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2080,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2085,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2090,OM-var,0,rooftop_pv
elect_td_bld,rooftop_pv,rooftop_pv,2095,OM-var,0,rooftop_pv
