supplysector,subsector.name0,subsector.name,year,lifetime,technology
base load generation,geothermal,geo_base,2021,30,geothermal (recirculating)
base load generation,geothermal,geo_base,2021,30,geothermal (dry_hybrid)
base load generation,biomass,biomass_base_conv,2025,60,biomass (conv) (once through)
base load generation,biomass,biomass_base_conv,2025,60,biomass (conv) (seawater)
base load generation,biomass,biomass_base_conv,2025,60,biomass (conv) (recirculating)
base load generation,biomass,biomass_base_conv,2025,60,biomass (conv) (cooling pond)
base load generation,biomass,biomass_base_conv,2025,60,biomass (conv) (dry cooling)
base load generation,biomass,biomass_base_conv_CCS,2025,60,biomass (conv CCS) (once through)
base load generation,biomass,biomass_base_conv_CCS,2025,60,biomass (conv CCS) (seawater)
base load generation,biomass,biomass_base_conv_CCS,2025,60,biomass (conv CCS) (recirculating)
base load generation,biomass,biomass_base_conv_CCS,2025,60,biomass (conv CCS) (dry cooling)
base load generation,biomass,biomass_base_IGCC,2025,60,biomass (IGCC) (once through)
base load generation,biomass,biomass_base_IGCC,2025,60,biomass (IGCC) (seawater)
base load generation,biomass,biomass_base_IGCC,2025,60,biomass (IGCC) (recirculating)
base load generation,biomass,biomass_base_IGCC,2025,60,biomass (IGCC) (dry cooling)
base load generation,biomass,biomass_base_IGCC_CCS,2025,60,biomass (IGCC CCS) (once through)
base load generation,biomass,biomass_base_IGCC_CCS,2025,60,biomass (IGCC CCS) (seawater)
base load generation,biomass,biomass_base_IGCC_CCS,2025,60,biomass (IGCC CCS) (recirculating)
base load generation,biomass,biomass_base_IGCC_CCS,2025,60,biomass (IGCC CCS) (dry cooling)
base load generation,coal,coal_base_conv pul,2025,60,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul,2025,60,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul,2025,60,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul,2025,60,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul,2025,60,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul_CCS,2025,60,coal (conv pul CCS) (once through)
base load generation,coal,coal_base_conv pul_CCS,2025,60,coal (conv pul CCS) (seawater)
base load generation,coal,coal_base_conv pul_CCS,2025,60,coal (conv pul CCS) (recirculating)
base load generation,coal,coal_base_conv pul_CCS,2025,60,coal (conv pul CCS) (dry cooling)
base load generation,coal,coal_base_IGCC,2025,60,coal (IGCC) (once through)
base load generation,coal,coal_base_IGCC,2025,60,coal (IGCC) (seawater)
base load generation,coal,coal_base_IGCC,2025,60,coal (IGCC) (recirculating)
base load generation,coal,coal_base_IGCC,2025,60,coal (IGCC) (dry cooling)
base load generation,coal,coal_base_IGCC_CCS,2025,60,coal (IGCC CCS) (once through)
base load generation,coal,coal_base_IGCC_CCS,2025,60,coal (IGCC CCS) (seawater)
base load generation,coal,coal_base_IGCC_CCS,2025,60,coal (IGCC CCS) (recirculating)
base load generation,coal,coal_base_IGCC_CCS,2025,60,coal (IGCC CCS) (dry cooling)
base load generation,gas,gas_base_CC,2025,45,gas (CC) (once through)
base load generation,gas,gas_base_CC,2025,45,gas (CC) (seawater)
base load generation,gas,gas_base_CC,2025,45,gas (CC) (recirculating)
base load generation,gas,gas_base_CC,2025,45,gas (CC) (cooling pond)
base load generation,gas,gas_base_CC,2025,45,gas (CC) (dry cooling)
base load generation,gas,gas_base_CC_CCS,2025,45,gas (CC CCS) (once through)
base load generation,gas,gas_base_CC_CCS,2025,45,gas (CC CCS) (seawater)
base load generation,gas,gas_base_CC_CCS,2025,45,gas (CC CCS) (recirculating)
base load generation,gas,gas_base_CC_CCS,2025,45,gas (CC CCS) (dry cooling)
base load generation,geothermal,geo_base,2025,30,geothermal (recirculating)
base load generation,geothermal,geo_base,2025,30,geothermal (dry_hybrid)
base load generation,nuclear,nuc_base_large reactor,2025,60,large reactor (once through)
