sector.name,subsector.name0,subsector.name,year,input.OM.var,OM.var,technology
base load generation,biomass,biomass_base_conv,1975,OM-var,1.29,biomass (conv) (once through)
base load generation,biomass,biomass_base_conv,1975,OM-var,1.29,biomass (conv) (seawater)
base load generation,biomass,biomass_base_conv,1975,OM-var,1.29,biomass (conv) (recirculating)
base load generation,biomass,biomass_base_conv,1975,OM-var,1.29,biomass (conv) (cooling pond)
base load generation,biomass,biomass_base_conv,1975,OM-var,1.29,biomass (conv) (dry cooling)
base load generation,biomass,biomass_base_conv_CCS,1975,OM-var,3.96,biomass (conv CCS) (once through)
base load generation,biomass,biomass_base_conv_CCS,1975,OM-var,3.96,biomass (conv CCS) (seawater)
base load generation,biomass,biomass_base_conv_CCS,1975,OM-var,3.96,biomass (conv CCS) (recirculating)
base load generation,biomass,biomass_base_conv_CCS,1975,OM-var,3.96,biomass (conv CCS) (dry cooling)
base load generation,biomass,biomass_base_IGCC,1975,OM-var,3.05,biomass (IGCC) (once through)
base load generation,biomass,biomass_base_IGCC,1975,OM-var,3.05,biomass (IGCC) (seawater)
base load generation,biomass,biomass_base_IGCC,1975,OM-var,3.05,biomass (IGCC) (recirculating)
base load generation,biomass,biomass_base_IGCC,1975,OM-var,3.05,biomass (IGCC) (dry cooling)
base load generation,biomass,biomass_base_IGCC_CCS,1975,OM-var,5.98,biomass (IGCC CCS) (once through)
base load generation,biomass,biomass_base_IGCC_CCS,1975,OM-var,5.98,biomass (IGCC CCS) (seawater)
base load generation,biomass,biomass_base_IGCC_CCS,1975,OM-var,5.98,biomass (IGCC CCS) (recirculating)
base load generation,biomass,biomass_base_IGCC_CCS,1975,OM-var,5.98,biomass (IGCC CCS) (dry cooling)
base load generation,coal,coal_base_conv pul,1975,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul,1975,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul,1975,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul,1975,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul,1975,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul_CCS,1975,OM-var,3.74,coal (conv pul CCS) (once through)
base load generation,coal,coal_base_conv pul_CCS,1975,OM-var,3.74,coal (conv pul CCS) (seawater)
base load generation,coal,coal_base_conv pul_CCS,1975,OM-var,3.74,coal (conv pul CCS) (recirculating)
base load generation,coal,coal_base_conv pul_CCS,1975,OM-var,3.74,coal (conv pul CCS) (dry cooling)
base load generation,coal,coal_base_IGCC,1975,OM-var,3.87,coal (IGCC) (once through)
base load generation,coal,coal_base_IGCC,1975,OM-var,3.87,coal (IGCC) (seawater)
base load generation,coal,coal_base_IGCC,1975,OM-var,3.87,coal (IGCC) (recirculating)
base load generation,coal,coal_base_IGCC,1975,OM-var,3.87,coal (IGCC) (dry cooling)
base load generation,coal,coal_base_IGCC_CCS,1975,OM-var,5.76,coal (IGCC CCS) (once through)
base load generation,coal,coal_base_IGCC_CCS,1975,OM-var,5.76,coal (IGCC CCS) (seawater)
base load generation,coal,coal_base_IGCC_CCS,1975,OM-var,5.76,coal (IGCC CCS) (recirculating)
base load generation,coal,coal_base_IGCC_CCS,1975,OM-var,5.76,coal (IGCC CCS) (dry cooling)
base load generation,gas,gas_base_CC,1975,OM-var,0.47,gas (CC) (once through)
base load generation,gas,gas_base_CC,1975,OM-var,0.47,gas (CC) (seawater)
base load generation,gas,gas_base_CC,1975,OM-var,0.47,gas (CC) (recirculating)
base load generation,gas,gas_base_CC,1975,OM-var,0.47,gas (CC) (cooling pond)
base load generation,gas,gas_base_CC,1975,OM-var,0.47,gas (CC) (dry cooling)
base load generation,gas,gas_base_CC_CCS,1975,OM-var,1.18,gas (CC CCS) (once through)
base load generation,gas,gas_base_CC_CCS,1975,OM-var,1.18,gas (CC CCS) (seawater)
base load generation,gas,gas_base_CC_CCS,1975,OM-var,1.18,gas (CC CCS) (recirculating)
base load generation,gas,gas_base_CC_CCS,1975,OM-var,1.18,gas (CC CCS) (dry cooling)
base load generation,geothermal,geo_base,1975,OM-var,0,geothermal (recirculating)
base load generation,geothermal,geo_base,1975,OM-var,0,geothermal (dry_hybrid)
base load generation,nuclear,nuc_base_Gen II,1975,OM-var,0.63,Gen_II_LWR (once through)
base load generation,nuclear,nuc_base_Gen II,1975,OM-var,0.63,Gen_II_LWR (seawater)
base load generation,nuclear,nuc_base_Gen II,1975,OM-var,0.63,Gen_II_LWR (recirculating)
base load generation,nuclear,nuc_base_Gen II,1975,OM-var,0.63,Gen_II_LWR (cooling pond)
base load generation,nuclear,nuc_base_large reactor,1975,OM-var,0.63,large reactor (once through)
base load generation,nuclear,nuc_base_large reactor,1975,OM-var,0.63,large reactor (seawater)
base load generation,nuclear,nuc_base_large reactor,1975,OM-var,0.63,large reactor (recirculating)
base load generation,nuclear,nuc_base_large reactor,1975,OM-var,0.63,large reactor (cooling pond)
base load generation,nuclear,nuc_base_SMR,1975,OM-var,0.61,SMR (once through)
base load generation,nuclear,nuc_base_SMR,1975,OM-var,0.61,SMR (seawater)
base load generation,nuclear,nuc_base_SMR,1975,OM-var,0.61,SMR (recirculating)
base load generation,nuclear,nuc_base_SMR,1975,OM-var,0.61,SMR (cooling pond)
base load generation,refined liquids,refined liquids_base_steam/CT,1975,OM-var,1.33,refined liquids (steam/CT) (once through)
base load generation,refined liquids,refined liquids_base_steam/CT,1975,OM-var,1.33,refined liquids (steam/CT) (seawater)
base load generation,refined liquids,refined liquids_base_steam/CT,1975,OM-var,1.33,refined liquids (steam/CT) (recirculating)
base load generation,refined liquids,refined liquids_base_steam/CT,1975,OM-var,1.33,refined liquids (steam/CT) (cooling pond)
base load generation,refined liquids,refined liquids_base_steam/CT,1975,OM-var,1.33,refined liquids (steam/CT) (dry cooling)
base load generation,refined liquids,refined liquids_base_CC,1975,OM-var,0.47,refined liquids (CC) (once through)
base load generation,refined liquids,refined liquids_base_CC,1975,OM-var,0.47,refined liquids (CC) (seawater)
base load generation,refined liquids,refined liquids_base_CC,1975,OM-var,0.47,refined liquids (CC) (recirculating)
base load generation,refined liquids,refined liquids_base_CC,1975,OM-var,0.47,refined liquids (CC) (dry cooling)
base load generation,refined liquids,refined liquids_base_CC_CCS,1975,OM-var,1.18,refined liquids (CC CCS) (once through)
base load generation,refined liquids,refined liquids_base_CC_CCS,1975,OM-var,1.18,refined liquids (CC CCS) (seawater)
base load generation,refined liquids,refined liquids_base_CC_CCS,1975,OM-var,1.18,refined liquids (CC CCS) (recirculating)
base load generation,refined liquids,refined liquids_base_CC_CCS,1975,OM-var,1.18,refined liquids (CC CCS) (dry cooling)
base load generation,solar,PV_base_storage,1975,OM-var,0,PV_base_storage
base load generation,solar,CSP_base_storage,1975,OM-var,1.15,CSP_base_storage
base load generation,wind,wind_base_storage,1975,OM-var,0,wind_base_storage
base load generation,coal,coal_base_conv pul 1951-1955,1975,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1951-1955,1975,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1951-1955,1975,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1951-1955,1975,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1951-1955,1975,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1956-1960,1975,OM-var,2.12,coal (conv pul) (once through)
