supplysector,subsector.name0,subsector.name,year,lifetime,steepness,half.life,technology
base load generation,biomass,biomass_base_conv,2021,60,0.1,30,biomass (conv) (once through)
base load generation,biomass,biomass_base_conv,2021,60,0.1,30,biomass (conv) (seawater)
base load generation,biomass,biomass_base_conv,2021,60,0.1,30,biomass (conv) (recirculating)
base load generation,biomass,biomass_base_conv,2021,60,0.1,30,biomass (conv) (cooling pond)
base load generation,biomass,biomass_base_conv,2021,60,0.1,30,biomass (conv) (dry cooling)
base load generation,coal,coal_base_conv pul,2021,60,0.1,30,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul,2021,60,0.1,30,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul,2021,60,0.1,30,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul,2021,60,0.1,30,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul,2021,60,0.1,30,coal (conv pul) (dry cooling)
base load generation,gas,gas_base_CC,2021,45,0.1,22.5,gas (CC) (once through)
base load generation,gas,gas_base_CC,2021,45,0.1,22.5,gas (CC) (seawater)
base load generation,gas,gas_base_CC,2021,45,0.1,22.5,gas (CC) (recirculating)
base load generation,gas,gas_base_CC,2021,45,0.1,22.5,gas (CC) (cooling pond)
base load generation,gas,gas_base_CC,2021,45,0.1,22.5,gas (CC) (dry cooling)
base load generation,nuclear,nuc_base_Gen II,2021,60,0.1,30,Gen_II_LWR (once through)
base load generation,nuclear,nuc_base_Gen II,2021,60,0.1,30,Gen_II_LWR (seawater)
base load generation,nuclear,nuc_base_Gen II,2021,60,0.1,30,Gen_II_LWR (recirculating)
base load generation,nuclear,nuc_base_Gen II,2021,60,0.1,30,Gen_II_LWR (cooling pond)
base load generation,refined liquids,refined liquids_base_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (once through)
base load generation,refined liquids,refined liquids_base_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (seawater)
base load generation,refined liquids,refined liquids_base_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (recirculating)
base load generation,refined liquids,refined liquids_base_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (cooling pond)
base load generation,refined liquids,refined liquids_base_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (dry cooling)
intermediate generation,biomass,biomass_int_conv,2021,60,0.1,30,biomass (conv) (once through)
intermediate generation,biomass,biomass_int_conv,2021,60,0.1,30,biomass (conv) (seawater)
intermediate generation,biomass,biomass_int_conv,2021,60,0.1,30,biomass (conv) (recirculating)
intermediate generation,biomass,biomass_int_conv,2021,60,0.1,30,biomass (conv) (cooling pond)
intermediate generation,biomass,biomass_int_conv,2021,60,0.1,30,biomass (conv) (dry cooling)
intermediate generation,coal,coal_int_conv pul,2021,60,0.1,30,coal (conv pul) (once through)
intermediate generation,coal,coal_int_conv pul,2021,60,0.1,30,coal (conv pul) (seawater)
intermediate generation,coal,coal_int_conv pul,2021,60,0.1,30,coal (conv pul) (recirculating)
intermediate generation,coal,coal_int_conv pul,2021,60,0.1,30,coal (conv pul) (cooling pond)
intermediate generation,coal,coal_int_conv pul,2021,60,0.1,30,coal (conv pul) (dry cooling)
intermediate generation,gas,gas_int_CC,2021,45,0.1,22.5,gas (CC) (once through)
intermediate generation,gas,gas_int_CC,2021,45,0.1,22.5,gas (CC) (seawater)
intermediate generation,gas,gas_int_CC,2021,45,0.1,22.5,gas (CC) (recirculating)
intermediate generation,gas,gas_int_CC,2021,45,0.1,22.5,gas (CC) (cooling pond)
intermediate generation,gas,gas_int_CC,2021,45,0.1,22.5,gas (CC) (dry cooling)
intermediate generation,refined liquids,refined liquids_int_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (once through)
intermediate generation,refined liquids,refined liquids_int_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (seawater)
intermediate generation,refined liquids,refined liquids_int_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (recirculating)
intermediate generation,refined liquids,refined liquids_int_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (cooling pond)
intermediate generation,refined liquids,refined liquids_int_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (dry cooling)
peak generation,coal,coal_peak_conv pul,2021,60,0.1,30,coal (conv pul) (once through)
peak generation,coal,coal_peak_conv pul,2021,60,0.1,30,coal (conv pul) (seawater)
peak generation,coal,coal_peak_conv pul,2021,60,0.1,30,coal (conv pul) (recirculating)
peak generation,coal,coal_peak_conv pul,2021,60,0.1,30,coal (conv pul) (cooling pond)
peak generation,coal,coal_peak_conv pul,2021,60,0.1,30,coal (conv pul) (dry cooling)
peak generation,gas,gas_peak_steam/CT,2021,45,0.1,22.5,gas (steam/CT) (once through)
peak generation,gas,gas_peak_steam/CT,2021,45,0.1,22.5,gas (steam/CT) (seawater)
peak generation,gas,gas_peak_steam/CT,2021,45,0.1,22.5,gas (steam/CT) (recirculating)
peak generation,gas,gas_peak_steam/CT,2021,45,0.1,22.5,gas (steam/CT) (cooling pond)
peak generation,gas,gas_peak_steam/CT,2021,45,0.1,22.5,gas (steam/CT) (dry cooling)
peak generation,gas,gas_peak_CC,2021,45,0.1,22.5,gas (CC) (once through)
peak generation,gas,gas_peak_CC,2021,45,0.1,22.5,gas (CC) (seawater)
peak generation,gas,gas_peak_CC,2021,45,0.1,22.5,gas (CC) (recirculating)
peak generation,gas,gas_peak_CC,2021,45,0.1,22.5,gas (CC) (cooling pond)
peak generation,gas,gas_peak_CC,2021,45,0.1,22.5,gas (CC) (dry cooling)
peak generation,refined liquids,refined liquids_peak_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (once through)
peak generation,refined liquids,refined liquids_peak_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (seawater)
peak generation,refined liquids,refined liquids_peak_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (recirculating)
peak generation,refined liquids,refined liquids_peak_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (cooling pond)
peak generation,refined liquids,refined liquids_peak_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (dry cooling)
subpeak generation,coal,coal_subpeak_conv pul,2021,60,0.1,30,coal (conv pul) (once through)
subpeak generation,coal,coal_subpeak_conv pul,2021,60,0.1,30,coal (conv pul) (seawater)
subpeak generation,coal,coal_subpeak_conv pul,2021,60,0.1,30,coal (conv pul) (recirculating)
subpeak generation,coal,coal_subpeak_conv pul,2021,60,0.1,30,coal (conv pul) (cooling pond)
subpeak generation,coal,coal_subpeak_conv pul,2021,60,0.1,30,coal (conv pul) (dry cooling)
subpeak generation,gas,gas_subpeak_steam/CT,2021,45,0.1,22.5,gas (steam/CT) (once through)
subpeak generation,gas,gas_subpeak_steam/CT,2021,45,0.1,22.5,gas (steam/CT) (seawater)
