region,supplysector,subsector0,subsector,year,lifetime,steepness,half.life,technology
AK,base load generation,coal,coal_base_conv pul 1951-1955,2021,13,0.3,11,coal (conv pul) (seawater)
AK,intermediate generation,coal,coal_int_conv pul 1951-1955,2021,13,0.3,11,coal (conv pul) (seawater)
AK,base load generation,coal,coal_base_conv pul 1961-1965,2021,23,0.3,20,coal (conv pul) (seawater)
AK,intermediate generation,coal,coal_int_conv pul 1961-1965,2021,23,0.3,20,coal (conv pul) (seawater)
AK,base load generation,coal,coal_base_conv pul 1966-1970,2021,26,0.3,23,coal (conv pul) (seawater)
AK,intermediate generation,coal,coal_int_conv pul 1966-1970,2021,26,0.3,23,coal (conv pul) (seawater)
AK,base load generation,coal,coal_base_conv pul 1971-1975,2021,34,0.3,30,coal (conv pul) (seawater)
AK,intermediate generation,coal,coal_int_conv pul 1971-1975,2021,34,0.3,30,coal (conv pul) (seawater)
AK,base load generation,coal,coal_base_conv pul 1981-1985,2021,40,0.3,35,coal (conv pul) (seawater)
AK,intermediate generation,coal,coal_int_conv pul 1981-1985,2021,40,0.3,35,coal (conv pul) (seawater)
AK,base load generation,coal,coal_base_conv pul 1986-1990,2021,47,0.3,41,coal (conv pul) (seawater)
AK,intermediate generation,coal,coal_int_conv pul 1986-1990,2021,47,0.3,41,coal (conv pul) (seawater)
AK,base load generation,coal,coal_base_conv pul 1996-2000,2021,57,0.3,50,coal (conv pul) (seawater)
AK,intermediate generation,coal,coal_int_conv pul 1996-2000,2021,57,0.3,50,coal (conv pul) (seawater)
AK,base load generation,coal,coal_base_conv pul 2016-2021,2021,79,0.3,69,coal (conv pul) (seawater)
AK,intermediate generation,coal,coal_int_conv pul 2016-2021,2021,79,0.3,69,coal (conv pul) (seawater)
AK,base load generation,coal,coal_base_conv pul,2021,60,0.3,50,coal (conv pul) (seawater)
AK,base load generation,coal,coal_base_conv pul_retire_2023,2021,5,0.1,2.5,coal (conv pul) (seawater)
AK,intermediate generation,coal,coal_int_conv pul,2021,60,0.3,50,coal (conv pul) (seawater)
AK,intermediate generation,coal,coal_int_conv pul_retire_2023,2021,5,0.1,2.5,coal (conv pul) (seawater)
AK,peak generation,coal,coal_peak_conv pul,2021,60,0.3,50,coal (conv pul) (seawater)
AK,peak generation,coal,coal_peak_conv pul_retire_2023,2021,5,0.1,2.5,coal (conv pul) (seawater)
AK,subpeak generation,coal,coal_subpeak_conv pul,2021,60,0.3,50,coal (conv pul) (seawater)
AK,subpeak generation,coal,coal_subpeak_conv pul_retire_2023,2021,5,0.1,2.5,coal (conv pul) (seawater)
AK,base load generation,coal,coal_base_conv pul 1951-1955,2021,13,0.3,11,coal (conv pul) (once through)
AK,base load generation,coal,coal_base_conv pul 1951-1955,2021,13,0.3,11,coal (conv pul) (recirculating)
AK,base load generation,coal,coal_base_conv pul 1951-1955,2021,13,0.3,11,coal (conv pul) (cooling pond)
AK,base load generation,coal,coal_base_conv pul 1951-1955,2021,13,0.3,11,coal (conv pul) (dry cooling)
AK,intermediate generation,coal,coal_int_conv pul 1951-1955,2021,13,0.3,11,coal (conv pul) (once through)
AK,intermediate generation,coal,coal_int_conv pul 1951-1955,2021,13,0.3,11,coal (conv pul) (recirculating)
AK,intermediate generation,coal,coal_int_conv pul 1951-1955,2021,13,0.3,11,coal (conv pul) (cooling pond)
