region,generation_gwh
AK,20.462519999999998
AL,1.68665
AR,511.2379299999999
AZ,5445.75051
CA,31724.228520000004
CO,2035.48419
CT,1458.2350399999998
DC,256.91776999999996
DE,202.75305000000003
FL,4611.380110000001
GA,568.1568800000001
HI,1573.1391599999997
IA,478.0833
ID,276.30671
IL,1730.04048
IN,386.67522
KS,166.43348
KY,161.16976000000003
LA,335.89464999999996
MA,4058.1239899999996
MD,1478.87488
ME,1014.90929
MI,345.59607000000005
MN,403.39554999999996
MO,742.14636
MS,30.07035
MT,107.12409999999998
NC,907.66322
ND,2.97464
NE,57.48514999999999
NH,361.32668
NJ,3395.2321899999997
NM,799.97147
NV,2042.45582
NY,4522.0399800000005
OH,508.31687
OK,228.70176
OR,618.34845
PA,974.27637
RI,281.52603
SC,636.90131
SD,7.47546
TN,86.39196
TX,4955.79343
UT,994.9399199999999
VA,1043.974
VT,245.46795
WA,634.0997199999999
WI,369.32335
WV,61.03839
WY,32.64116
